token	normalised
domine	domine
exaudi	exaudi
orationem	orationem
meam	meam
.	.
et	et
clamor	clamor
meus	meus
ad	ad
te	te
veniat	veniat
non	non
avertas	avertas
faciem	faciem
tuam	tuam
a	a
me	me
in	in
qua	qua
cumque	cumque
die	die
tribulor	tribulor
inclina	inclina
ad	ad
me	me

aurem	aurem
tuam	tuam
in	in
quacumque	quacumque
die	die
invocavero	invocavero
te	te
velociter	velociter
exaudi	exaudi
me	me
.	.
quia	quia
defecerunt	defecerunt
sicut	sicut
fumus	fumus
dies	dies
mei	mei
et	et
ossa	ossa
mea	mea
sicut	sicut
cremium	cremium
aruerunt	aruerunt
percussus	percussus
sum	sum

ut	ut
fenum	fenum
et	et
aruit	aruit
cor	cor
meum	meum
quia	quia
oblitus	oblitus
sum	sum
comedere	comedere
panem	panem
meum	meum
.	.
a	a
voce	voce
gemitus	gemitus
mei	mei
adhaesit	adhaesit
os	os
meum	meum
carni	carni
mee	mee
.	.
similis	similis
factus	factus

sum	sum
pellicano	pellicano
solitudinis	solitudinis
et	et
factus	factus
sum	sum
sicut	sicut
niticorax	niticorax
in	in
domicilio	domicilio
.	.
vigilavi	vigilavi
.	.
et	et
factus	factus
sum	sum
sicut	sicut
passer	passer
solitarius	solitarius
in	in
tecto	tecto
.	.
tota	tota
die	die
exprobrabant	exprobrabant

indignationis	indignationis
tue	tue
quia	quia
elevans	elevans
allisisti	allisisti
me	me
.	.
dies	dies
mei	mei
sicut	sicut
umbra	umbra
declinaverunt	declinaverunt
et	et
ego	ego
sicut	sicut
fenum	fenum
arui	arui
.	.
tu	tu
autem	autem
domine	domine
in	in
eternum	eternum
permanes	permanes
et	et

memoriale	memoriale
tuum	tuum
in	in
generationem	generationem
et	et
generationem	generationem
.	.
tu	tu
exsurgens	exsurgens
domine	domine
misereberis	misereberis
sion	sion
quia	quia
tempus	tempus
miserendi	miserendi
ejus	ejus
quia	quia
venit	venit
tempus	tempus
.	.
quoniam	quoniam
placuerunt	placuerunt
servis	servis
tuis	tuis
lapides	lapides

ejus	ejus
et	et
terre	terre
ejus	ejus
